age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
59,average,NA,not at all,never,graduated from college/university,white,65,100000,computer / hardware / software,has a kid,straight,likes dogs and has cats,agnosticism and laughing about it,f,capricorn and it&rsquo;s fun to think about,no,english (fluently),single
23,average,anything,socially,never,graduated from college/university,asian,67,-1,computer / hardware / software,NA,straight,NA,NA,f,NA,no,english,single
26,athletic,mostly anything,socially,never,graduated from college/university,white,70,-1,sales / marketing / biz dev,NA,straight,has dogs and likes cats,judaism and laughing about it,m,aquarius but it doesn&rsquo;t matter,NA,"english (fluently), esperanto (fluently), hebrew (poorly), yiddish (poorly)",single
22,a little extra,NA,NA,never,NA,hispanic / latin,68,-1,NA,doesn&rsquo;t have kids,straight,NA,catholicism,m,scorpio,NA,"english (fluently), spanish (fluently)",single
26,athletic,anything,NA,NA,NA,"asian, hispanic / latin",69,-1,NA,NA,straight,NA,NA,m,NA,NA,"english (fluently), spanish (fluently), chinese (poorly)",single
52,fit,strictly anything,socially,sometimes,NA,white,60,-1,artistic / musical / writer,NA,straight,has dogs and has cats,other and somewhat serious about it,f,sagittarius and it&rsquo;s fun to think about,sometimes,english,single
22,thin,strictly anything,often,sometimes,NA,"asian, indian",67,40000,science / tech / engineering,doesn&rsquo;t have kids,straight,NA,atheism but not too serious about it,m,NA,when drinking,english,seeing someone
32,used up,mostly other,rarely,never,graduated from space camp,black,71,1000000,artistic / musical / writer,NA,straight,likes dogs and likes cats,NA,m,gemini,yes,english (okay),single
42,fit,NA,socially,never,NA,indian,67,-1,computer / hardware / software,NA,straight,NA,NA,m,aries and it&rsquo;s fun to think about,no,"english (fluently), tamil (fluently)",single
29,fit,strictly anything,socially,never,graduated from college/university,white,75,-1,executive / management,NA,straight,likes dogs and has cats,atheism and somewhat serious about it,m,aries but it doesn&rsquo;t matter,no,english,seeing someone
27,curvy,NA,socially,never,graduated from college/university,hispanic / latin,67,-1,other,"doesn&rsquo;t have kids, but might want them",straight,has dogs,christianity and somewhat serious about it,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), portuguese (fluently), spanish (okay)",single
31,athletic,mostly vegetarian,socially,sometimes,working on ph.d program,white,70,-1,science / tech / engineering,NA,straight,likes dogs and likes cats,agnosticism and laughing about it,m,pisces and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (okay)",single
28,NA,NA,socially,NA,graduated from college/university,asian,60,-1,other,NA,straight,NA,NA,f,virgo,no,"english, spanish (okay)",single
22,curvy,NA,socially,never,working on college/university,"asian, white",61,-1,student,NA,straight,likes dogs and dislikes cats,agnosticism,f,aquarius but it doesn&rsquo;t matter,no,"english, latin (okay), spanish (okay)",single
41,fit,NA,socially,never,graduated from masters program,white,71,-1,NA,NA,straight,likes dogs and likes cats,agnosticism,m,NA,no,english,single
41,curvy,mostly anything,rarely,never,graduated from college/university,"asian, white",64,-1,student,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and dislikes cats,agnosticism but not too serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), french (poorly), sign language (okay)",single
31,fit,mostly anything,socially,never,graduated from masters program,white,73,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity and somewhat serious about it,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
28,fit,NA,socially,sometimes,working on college/university,white,65,20000,student,"doesn&rsquo;t have kids, but might want them",straight,has dogs and has cats,NA,f,cancer and it&rsquo;s fun to think about,yes,english,single
25,NA,mostly vegetarian,often,NA,graduated from college/university,white,63,-1,other,NA,straight,NA,NA,f,cancer and it&rsquo;s fun to think about,NA,"english (fluently), spanish (fluently)",single
31,curvy,mostly anything,socially,NA,working on college/university,"native american, white",63,-1,artistic / musical / writer,NA,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), spanish (poorly)",single
33,average,NA,not at all,never,graduated from college/university,asian,68,-1,NA,NA,gay,likes dogs and likes cats,NA,m,NA,no,"english, tagalog",single
